"date", "low", "high", "open", "close", "volume", "range"
Thu Oct 26 2017,5701,6000,5739.97,5891.61,11817.40,299.00
Fri Oct 27 2017,5708.8,5998,5891.61,5780,9337.84,289.20
Sat Oct 28 2017,5715,5894,5780,5752.01,5453.80,179.00
Sun Oct 29 2017,5728,6298.99,5752.01,6140.01,12509.86,570.99
Mon Oct 30 2017,6028,6200,6140.01,6124.16,8341.53,172.00
Tue Oct 31 2017,6095.96,6472.13,6124.16,6445.01,15024.50,376.17
Wed Nov 01 2017,6363.59,6784,6445.01,6783.69,20571.55,420.41
Thu Nov 02 2017,6759,7445,6783.69,7039.98,35889.11,686.00
Fri Nov 03 2017,6955.89,7449.99,7039.99,7170.01,24724.30,494.10
Sat Nov 04 2017,7011.1,7498,7170.01,7412.55,13668.90,486.90
Sun Nov 05 2017,7310,7630,7412.35,7392,16504.96,320.00
Mon Nov 06 2017,6900.73,7432.49,7391.95,6969.76,23880.70,531.76
Tue Nov 07 2017,6968.49,7232.84,6969.76,7126.63,14504.08,264.35
Wed Nov 08 2017,7031.66,7898,7128.99,7467.96,38183.54,866.34
Thu Nov 09 2017,7079,7470.01,7467.97,7156,18059.29,391.01
Fri Nov 10 2017,6426,7350,7156,6577.62,33895.56,924.00
Sat Nov 11 2017,6201.01,6894.99,6577.63,6346.7,25650.23,693.98
Sun Nov 12 2017,5511.11,6486,6346.64,5886.35,52464.52,974.89
Mon Nov 13 2017,5850,6841.45,5886.35,6535.87,36435.24,991.45
Tue Nov 14 2017,6450,6748,6535.87,6605,20256.43,298.00
Wed Nov 15 2017,6605,7349,6605,7294,27878.01,744.00
Thu Nov 16 2017,7130,7985.37,7294,7838.53,29352.78,855.37
Fri Nov 17 2017,7536,7988.5,7838.54,7714.71,24790.78,452.50
Sat Nov 18 2017,7502,7847.98,7714.7,7777.01,14707.54,345.98
Sun Nov 19 2017,7700,8098.62,7777.01,8031.82,14765.85,398.62
Mon Nov 20 2017,7969,8293.25,8031.83,8256.01,15684.99,324.25
Tue Nov 21 2017,7802.99,8375,8256.01,8109,31251.08,572.01
Wed Nov 22 2017,8103.13,8298.98,8109,8250,13689.60,195.85
Thu Nov 23 2017,8031.16,8274.98,8250,8031.16,11896.23,243.82
Fri Nov 24 2017,7900,8324,8031.16,8215.01,14613.02,424.00
Sat Nov 25 2017,8203.98,8795.5,8215.01,8795.5,16482.33,591.52
Sun Nov 26 2017,8795.5,9596,8795.5,9401.11,28641.64,800.50
Mon Nov 27 2017,9401,9795,9401.11,9768.71,25683.33,394.00
Tue Nov 28 2017,9705.99,9989.95,9768.71,9949,18960.17,283.96
Wed Nov 29 2017,8595.55,11485,9949,9935.98,69111.75,2889.45
Thu Nov 30 2017,9135.6,10850,9920.81,9903,42447.03,1714.40
Fri Dec 01 2017,9517,10937,9903.01,10869.84,33257.45,1420.00
Sat Dec 02 2017,10701,11100,10869.85,10930.24,20197.02,399.00
Sun Dec 03 2017,10601,11891,10930.24,11290,31415.65,1290.00
Mon Dec 04 2017,10950,11650,11290,11643.98,20180.79,700.00
Tue Dec 05 2017,11532,11875,11643.99,11718.35,17711.47,343.00
Wed Dec 06 2017,11717.5,14425,11718.34,14090,51216.00,2707.50
Thu Dec 07 2017,13500,19697,14090,17390.01,84108.51,6197.00
Fri Dec 08 2017,13788.99,17777.69,17390.01,16367.03,67803.82,3988.70
